2026-08-05T17:12:14.978455Z	 1625 Execute	select * from `tblinvoices` where `tblinvoices`.`id` in (23) and `status` = 'Payment Pending'
2026-08-05T17:12:14.979326Z	 1625 Close stmt	
2026-08-05T17:12:14.981079Z	 1625 Prepare	INSERT INTO tblactivitylog (`date`,`description`,`user`,`userid`,`ipaddr`,`user_id`,`admin_id`) VALUES ('20260806001214','Cron Job: Suspending Service - Service ID: 8','System','0','','0','0')
2026-08-05T17:12:14.981406Z	 1625 Execute	INSERT INTO tblactivitylog (`date`,`description`,`user`,`userid`,`ipaddr`,`user_id`,`admin_id`) VALUES ('20260806001214','Cron Job: Suspending Service - Service ID: 8','System','0','','0','0')
2026-08-05T17:12:14.987728Z	 1625 Prepare	select * from `tblhosting` where `tblhosting`.`id` = ? limit 1
2026-08-05T17:12:14.987948Z	 1625 Execute	select * from `tblhosting` where `tblhosting`.`id` = 8 limit 1
2026-08-05T17:12:14.988764Z	 1625 Close stmt	
2026-08-05T17:12:14.993121Z	 1625 Prepare	select * from `tblproducts` where `tblproducts`.`id` in (1) order by `tblproducts`.`order` asc, `tblproducts`.`id` asc
2026-08-05T17:12:14.993356Z	 1625 Execute	select * from `tblproducts` where `tblproducts`.`id` in (1) order by `tblproducts`.`order` asc, `tblproducts`.`id` asc
2026-08-05T17:12:14.993892Z	 1625 Close stmt	
2026-08-05T17:12:14.998083Z	 1625 Prepare	select * from `tblclients` where `tblclients`.`id` in (2)
2026-08-05T17:12:14.998315Z	 1625 Execute	select * from `tblclients` where `tblclients`.`id` in (2)
2026-08-05T17:12:14.998787Z	 1625 Close stmt	
2026-08-05T17:12:15.003832Z	 1625 Prepare	select * from `tblcustomfieldsvalues` where `tblcustomfieldsvalues`.`relid` = ? and `tblcustomfieldsvalues`.`relid` is not null
2026-08-05T17:12:15.004044Z	 1625 Execute	select * from `tblcustomfieldsvalues` where `tblcustomfieldsvalues`.`relid` = 8 and `tblcustomfieldsvalues`.`relid` is not null
2026-08-05T17:12:15.004690Z	 1625 Close stmt	
2026-08-05T17:12:15.006325Z	 1625 Prepare	select `fieldname` from `tblcustomfields` where `type` = ? and `relid` = ? order by `tblcustomfields`.`sortorder` asc, `tblcustomfields`.`id` asc
2026-08-05T17:12:15.006505Z	 1625 Execute	select `fieldname` from `tblcustomfields` where `type` = 'product' and `relid` = 1 order by `tblcustomfields`.`sortorder` asc, `tblcustomfields`.`id` asc
